name,price,description,characters
Грунт-эмаль яхтная до -20°С ниже ватерлинии EXPRESSO RAL6029 зеленый (0.9кг),699,Грунт-эмаль яхтная EXPRESSO. ,"['Тип работ наружные работы', 'Область применения для надводного борта', 'Степень блеска поверхности матовая', 'Тип поверхности дерево / пластик / ПВХ / минеральные поверхности / металл', 'Колеровка нет', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная Лаковар до -20С RAL3020 красный (0.9кг),499,Грунт-эмаль яхтная Лаковар до -20С RAL3020 красный (0.9кг) - ,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 9005 Черная 0.52 л,330,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 черная. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 9003 Белая 0.52 л,330,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 белая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 Коричневая 0.52 л,330,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 коричневая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7021 Графит 0.52 л,320,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 графит. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Эмаль аэрозольная Kudo для ПВХ профиля белая KU-6101 0.52 л,260,"Эмаль аэрозольная Kudo для ПВХ профиля белая KU-6101. Объем упаковки — 0.52 л. Хорошая укрывистость, превосходная адгезия к окрашиваемой поверхности, устойчивость к атмосферным воздействиям. Покрытие эластичное даже после высыхания, отсутствие трещин в том числе при эксплуатации поверхности в условиях низких температур. Входящие в состав компоненты обеспечивают устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '']"
Эмаль Hobby для бытовой техники белый 0.007 л,230,"Эмаль Hobby для бытовой техники . Цвет — белый. Простая в применении, легко наносится без подтеков и разводов. Обладает хорошей влагостойкостью и имеет в составе светостойкие пигменты, поэтому со временем не теряет своего цвета.","['Тип работ внутренние работы / наружные работы', 'Тип поверхности пластик / ПВХ / металл', 'Колеровка ручная', 'Состав, нитроцеллюлоза', 'Готовность к применению готов к применению', '', '', '', '', '', '']"
Эмаль для радиаторов отопления KU-5102 Kudo белая матовая,320,"Алкидная эмаль KUDO® предназначена для защитно-декоративной окраски систем отопления (батарей, радиаторов, трубопроводов водоснабжения). Эмаль быстро высыхает, обладает высокой укрывающей способностью, превосходно подходит как для окрашивания новых поверхностей, так и для ремонта старых.","['Тип работ внутренние работы', 'Область применения для жилых и офисных помещений', 'Степень блеска поверхности матовая', 'Способ нанесения вручную', 'Разбавитель (растворитель) алкидный растворитель 2010', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7035 Светло-серая 0.52 л,320,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 светло-серая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7031 Серая 0.52 л,320,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 серая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Эмаль Hobby для керамики белый 0.007 л,230,"Эмаль для керамики Hobby. Цвет — белый. Простая в применении, легко наносится без подтеков и разводов. Обладает хорошей влагостойкостью и имеет в составе светостойкие пигменты, поэтому со временем не теряет своего цвета.","['Тип работ внутренние работы / наружные работы', 'Тип поверхности керамика / металл / эмалированная поверхность', 'Колеровка ручная', 'Состав, нитроцеллюлоза', 'Готовность к применению готов к применению', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 3020 Красная 0.52 л,320,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 красная. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Краска для садовых деревьев РЕЛЬЕФ (2.5кг),159,"Краска для садовых деревьев Рельеф. Применяется для защиты коры деревьев от солнечных ожогов и УФ-излучений, а также защиты стволов и ветвей садовых деревьев, кустарников от повреждений грызунами, насекомыми; для лечения и профилактики грибковых и бактериальных заболеваний; для повышения стойкости к морозам и резким температурным перепадам. Обработку рекомендуется проводить 2 раза в год. Основная окраска стволов деревьев проводится в октябре-ноябре, после опадания листьев. Повторная, от солнечных ожогов, в конце февраля - начале апреля до распускаяния почек.","['Тип работ наружные работы', 'Область применения для садовых деревьев', 'Степень блеска поверхности матовая', 'Способ нанесения кисть / валик', 'Разбавитель (растворитель) вода', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL9016 белая 0.9 кг,790,Грунт-эмаль яхтная EXPRESSO. Цвет - белый. Вес упаковки — 0.9 кг.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Эмаль термостойкая для мангалов аэрозоль Kudo черная KU-5122,380,"Высококачественная кремнийорганическая термостойкая эмаль предназначена для окраски металлических изделий, подверженных нагреванию до температуры +800°С — мангалов, грилей, печей, каминов. Может применяться для окрашивания бойлеров, котлов, радиаторов. Не содержит свинца и ртути. Применяется для наружных и внутренних работ. Легко наносится на труднодоступные места, имеет хорошую укрывистость и атмосферостойкость.","['Тип работ внутренние работы', 'Область применения для жилых и офисных помещений', 'Степень блеска поверхности матовая', 'Способ нанесения вручную', 'Разбавитель (растворитель) алкидный растворитель 2010', '', '', '', '', '', '', '', '', '', '', '', '']"
Эмаль аэрозольная Kudo для ванн и керамики белый,330,"Эмаль аэрозольная Kudo для ванн и керамики. Цвет — белый. Удобная в использовании, легко наносится даже в труднодоступные места, укрывистая. Создает водостойкое, гладкое и прочное покрытие с превосходной адгезией к поверхности. Позволяет значительно продлить срок эксплуатации старой ванны. ","['Область применения для сантехнических приборов', 'Степень блеска поверхности глянцевая', 'Тип поверхности керамика / металл', 'Колеровка готовый цвет', 'Состав, алкидный', '', '', '', '', '', '', '', '', '', '', '', '', '']"
